cntry,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,prtvtcat,prtvtdbe,prtvtdbg,prtvtgch,prtvtbcy,prtvtecz,prtvede1,prtvede2,prtvtddk,prtvtgee,prtvtees,prtvtdfi,prtvtdfr,prtvtcgb,prtvtahr,prtvtfhu,prtvtcie,prtvtcis,prtvtcit,prtvblt1,prtvblt2,prtvblt3,prtvtalv,prtvtme,prtvtgnl,prtvtbno,prtvtdpl,prtvtcpt,prtvtrs,prtvtcse,prtvtfsi,prtvtdsk,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,clsprty,prtcldat,prtcldbe,prtcldbg,prtclgch,prtclbcy,prtclecz,prtclede,prtclddk,prtclgee,prtclfes,prtclefi,prtclffr,prtclcgb,prtclahr,prtclghu,prtcleie,prtclcis,prtcldit,prtclblt,prtclalv,prtclme,prtclfnl,prtclbno,prtclhpl,prtclept,prtclrs,prtclcse,prtclfsi,prtcldsk,prtdgcl,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,hmsfmlsh,hmsacld,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk,health,hlthhmp,atchctr,atcherp,rlgblg,rlgdnm,rlgdnbat,rlgdnbe,rlgdnach,rlgdncy,rlgdnade,rlgdnafi,rlgdngb,rlgdnhu,rlgdnie,rlgdnais,rlgdnlt,rlgdnlv,rlgdme,rlgdnnl,rlgdnno,rlgdnapl,rlgdnrs,rlgdnase,rlgdnask,rlgblge,rlgdnme,rlgdebat,rlgdebe,rlgdeach,rlgdecy,rlgdeade,rlgdeafi,rlgdegb,rlgdehu,rlgdeie,rlgdeais,rlgdelt,rlgdelv,rlgdeme,rlgdenl,rlgdeno,rlgdeapl,rlgders,rlgdease,rlgdeask,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzshipd,brncntr,cntbrthd,livecnta,lnghom1,lnghom2,blgetmg,facntr,fbrncntc,mocntr,mbrncntc,admdw,vteurmmb,vteumbgb,vteubcmb,evpdemp,pdempyr,lvpntyr,evlvptn,lvptnyr,evmar,maryr,bthcld,nbthcld,fcldbrn,ycldbyr,ngchld,ygcdbyr,ggchld,admge,ageadlt,agemage,ageoage,iaglptn,iagmr,iagpnt,iagrtr,tygledu,tyglvp,tygmr,tygpnt,tygrtr,tolvpnt,tochld,towkht,anvcld,alvgptn,acldnmr,aftjbyc,advcyc,plnftr,hhmmb,gndr,gndr2,gndr3,gndr4,gndr5,gndr6,gndr7,gndr8,gndr9,gndr10,gndr11,gndr12,gndr13,gndr14,gndr15,agea,yrbrn,yrbrn2,yrbrn3,yrbrn4,yrbrn5,yrbrn6,yrbrn7,yrbrn8,yrbrn9,yrbrn10,yrbrn11,yrbrn12,yrbrn13,yrbrn14,yrbrn15,rshipa2,rshipa3,rshipa4,rshipa5,rshipa6,rshipa7,rshipa8,rshipa9,rshipa10,rshipa11,rshipa12,rshipa13,rshipa14,rshipa15,rshpsts,rshpsgb,lvgptnea,dvrcdeva,marsts,marstgb,maritalb,chldhhe,domicil,edulvlb,eisced,edlveat,edlvebe,edlvebg,edlvdch,edlvgcy,edlvdcz,edubde1,eduade2,eduade3,edlvddk,edlvdee,edlvges,edlvdfi,edlvdfr,educgb1,edubgb2,edagegb,edlvehr,edlvdhu,edlvdie,edlvdis,edlveit,edlvdlt,edlvdlv,edlvdme,edlvenl,edlvdno,edlvgpl,edlvdpt,edlvdrs,edlvdse,edlvesi,edlvdsk,eduyrs,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,dngref,dngdk,dngna,mainact,mnactic,crpdwk,pdjobev,pdjobyr,emplrel,emplno,wrkctra,estsz,jbspv,njbspv,wkdcorga,iorgact,wkhct,icwhct,wkhtot,nacer2,tporgwk,isco08,wrkac6m,uemp3m,uemp12m,uemp5yr,mbtru,hincsrca,hinctnta,hincfel,iincsrc,edulvlpb,eiscedp,edlvpeat,edlvpebe,edlvpebg,edlvpdch,edlvpgcy,edlvpdcz,edupbde1,edupade2,edupade3,edlvpddk,edlvpdee,edlvpfes,edlvpdfi,edlvpdfr,edupcgb1,edupbgb2,edagepgb,edlvpehr,edlvpdhu,edlvpdie,edlvpdis,edlvpeit,edlvpdlt,edlvpdlv,edlvpdme,edlvpenl,edlvpdno,edlvpfpl,edlvpdpt,edlvpdrs,edlvpdse,edlvpesi,edlvpdsk,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,dngdkp,dngnapp,dngrefp,dngnap,mnactp,crpdwkp,isco08p,emprelp,wkhtotp,edulvlfb,eiscedf,edlvfeat,edlvfebe,edlvfebg,edlvfdch,edlvfgcy,edlvfdcz,edufbde1,edufade2,edufade3,edlvfddk,edlvfdee,edlvffes,edlvfdfi,edlvfdfr,edufcgb1,edufbgb2,edagefgb,edlvfehr,edlvfdhu,edlvfdie,edlvfdis,edlvfeit,edlvfdlt,edlvfdlv,edlvfdme,edlvfenl,edlvfdno,edlvffpl,edlvfdpt,edlvfdrs,edlvfdse,edlvfesi,edlvfdsk,emprf14,occf14b,edulvlmb,eiscedm,edlvmeat,edlvmebe,edlvmebg,edlvmdch,edlvmgcy,edlvmdcz,edumbde1,edumade2,edumade3,edlvmddk,edlvmdee,edlvmfes,edlvmdfi,edlvmdfr,edumcgb1,edumbgb2,edagemgb,edlvmehr,edlvmdhu,edlvmdie,edlvmdis,edlvmeit,edlvmdlt,edlvmdlv,edlvmdme,edlvmenl,edlvmdno,edlvmfpl,edlvmdpt,edlvmdrs,edlvmdse,edlvmesi,edlvmdsk,emprm14,occm14b,atncrse,anctry1,anctry2,frprtpl,gvintcz,poltran,ifredu,ifrjob,evfredu,evfrjob,fvgabc,infqbst,grspnum,grsplet,netinum,netilet,grspfr,netifr,frlgrsp,frlneti,occinfr,topinfr,btminfr,wltdffr,recskil,recexp,recknow,recimg,recgndr,sofrdst,sofrwrk,sofrpr,sofrprv,ppldsrv,jstprev,pcmpinj,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,region,regunit,dweight,pspwght,pweight,anweight
FR,120,3,6666,4,8,5,3,3,1,3,3,6,6,7,6,6,6,6,1,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,2,6,8,6,7,8,8,8,2,1,5,3,5,2,2,2,88,2,88,8,5,0,2,2,1,3,3,10,8,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,8,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,3,1,,,2,6666,1966,1,1966,1,1966,1,2,1967,1970,2,2000,2,2,25,45,85,20,0,0,0,16,18,18,18,0,0,0,0,3,3,3,3,3,9,2,2,2,6,6,6,6,6,6,,,,,,,,74,1945,1970,6666,6666,6666,6666,6666,6666,,,,,,,,2,66,66,66,66,66,66,,,,,,,,66,,1,2,5,,5,6,3,113,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,1,0,0,0,0,66,8,2,2,6666,6,66666,6,6,6,66666,66,66,666,6,666,666,66,66666,6,2,6,6,3,4,88,2,9,6666,66,,,,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,5,8888,88,,,,,,,,,,,,,,8888,,,,,,,,,,,,,,,,,,,,2,5,2,11050,555555,2,3,8,88,88,88,88,6,6,666666666,66,666666666,66,6,6,666666666,666666666,6,0,8,8,2,2,2,2,2,3,2,2,3,4,4,4,3,6,2,5,1,5,4,1,2,3,1,1,6,1,6,2,2,1,1,1,3,FRL0,2,1.102016091,1.291977286,2.726686716,3.522817304
FR,10,4,20,2,5,3,3,2,1,1,2,5,3,6,2,3,3,3,1,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,1,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,2,7,8,3,2,2,4,4,1,1,5,5,5,2,3,3,4,2,4,7,2,1,3,2,2,3,3,8,2,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,3,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,3,33,,,1,1989,1986,1,1987,2,6666,1,2,1998,2006,1,2017,6,2,30,50,80,30,30,30,60,18,30,30,23,55,30,55,60,3,5,5,5,5,8,3,1,2,1,6,6,6,6,6,,,,,,,,54,1965,1969,2006,6666,6666,6666,6666,6666,,,,,,,,1,2,66,66,66,66,66,,,,,,,,2,,1,2,66,,2,6,4,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,12,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,3,2,66666,7,6,40,1,40,56,2,5120,2,2,6,6,2,1,7,2,1,313,4,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,5321,1,35,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,7,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,5,2,11050,11058,2,2,2,7,7,3,3,1,2,1900,66,1600,66,-2,-2,2300,2000,-2,2,-3,3,3,3,2,3,1,1,1,2,5,3,3,3,3,4,1,5,1,3,4,1,1,1,3,3,5,2,4,1,5,1,4,4,4,FRJ1,2,1.133343577,1.201127887,2.726686716,3.275099453
FR,180,5,180,8,7,5,1,1,3,1,3,3,8,8,8,5,3,7,1,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,2,1,1,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,3,7,7,5,5,3,7,7,5,1,5,5,5,2,4,4,5,5,5,8,2,1,4,2,1,2,3,10,5,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,5,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,1,1,,,1,1969,1972,1,1973,1,1973,1,3,1974,1984,4,2002,2,1,15,25,90,21,21,21,55,16,18,18,18,55,888,50,70,5,5,5,5,5,10,2,1,2,6,6,6,6,6,6,,,,,,,,67,1952,1952,6666,6666,6666,6666,6666,6666,,,,,,,,1,66,66,66,66,66,66,,,,,,,,1,,2,2,66,,1,2,4,313,4,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,2,6666,6,66666,6,6,6,66666,66,66,666,6,666,666,66,66666,6,2,6,6,3,4,5,2,4,313,4,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,113,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,7,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,66,2,15090,11070,1,1,5,7,7,7,7,2,2,666666666,66,888888888,6,6,-4,666666666,2300,-3,0,-3,8,1,4,4,8,1,3,3,3,3,3,3,3,1,6,1,1,3,1,6,1,1,1,4,1,6,1,6,1,1,1,1,5,6,FRE1,2,1.13136673,0.835666299,2.726686716,2.278600196
FR,5,4,60,5,7,8,4,1,1,1,2,3,8,7,3,3,3,7,2,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,5,8,3,3,3,5,9,3,1,5,3,2,2,3,3,5,5,5,8,5,4,3,2,2,2,3,5,5,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,2,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,PRO,2,1,6666,1,6666,1,2,,,1,2011,2014,1,2016,2,6666,2,66,6666,6666,66,6666,6,2,18,25,70,18,20,28,60,16,16,16,18,50,20,60,70,2,3,4,4,3,0,2,2,1,6,6,6,6,6,6,,,,,,,,25,1993,1990,6666,6666,6666,6666,6666,6666,,,,,,,,1,66,66,66,66,66,66,,,,,,,,3,,6,2,6,,6,2,4,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,13,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,2,2,2,66666,8,5,45,1,45,55,4,5120,1,2,6,6,3,1,8,2,1,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,7512,1,45,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,2,9,313,4,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,2,9,2,11050,11058,2,2,2,8,6,4,4,1,2,2400,66,1600,66,-1,-1,2800,2000,-1,0,-1,-1,3,4,2,2,1,3,2,2,5,4,3,3,4,5,2,2,1,2,5,2,1,1,5,2,4,2,5,2,5,2,2,2,2,FRK1,2,1.141724944,1.130689144,2.726686716,3.083035069
FR,840,5,90,6,7,5,1,2,3,3,3,5,6,6,5,6,6,5,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,7,8,4,4,4,6,7,2,1,5,2,5,3,4,2,7,9,7,7,4,3,5,1,2,3,3,9,7,2,66,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,2,1,,,1,1969,1969,1,1970,1,1970,1,2,1971,1972,2,2002,2,2,25,35,80,25,27,30,60,18,22,23,23,55,23,45,63,3,3,3,3,3,8,2,2,1,6,6,6,6,6,6,,,,,,,,69,1949,1947,6666,6666,6666,6666,6666,6666,,,,,,,,1,66,66,66,66,66,66,,,,,,,,1,,2,2,66,,1,1,3,720,7,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2005,1,66666,1,3,1,5,9,9,27,1,35,85,2,2341,2,2,6,6,1,4,8,1,4,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,9,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,3,2,11050,555555,3,2,2,8,5,4,3,2,2,666666666,66,2300,66,6,-3,666666666,2600,-2,-3,-1,-4,3,3,3,2,2,1,1,1,5,4,4,4,1,5,1,4,3,1,5,3,3,3,1,2,3,4,5,4,4,2,2,2,3,FRJ2,2,1.121632814,0.991716266,2.726686716,2.704099568
FR,120,1,6666,5,10,8,1,3,2,4,2,8,8,10,5,5,5,5,1,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,2,8,10,8,10,8,8,8,2,1,5,2,8,2,2,3,5,5,5,10,7,4,4,2,1,3,2,10,10,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,10,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,2,1,,,1,1947,1950,1,1950,1,1950,1,1,1951,6666,2,1979,1,2,20,40,75,18,25,26,60,16,14,16,16,58,20,45,60,2,4,4,2,1,2,1,2,6,6,6,6,6,6,6,,,,,,,,88,1931,6666,6666,6666,6666,6666,6666,6666,,,,,,,,66,66,66,66,66,66,66,,,,,,,,66,,2,2,5,,5,1,1,213,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,1949,1,66666,2,1,2,66666,0,0,40,1,40,85,4,5312,2,2,6,6,3,4,5,1,66,6666,66,,,,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,113,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,4,113,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,66,2,11050,555555,3,3,3,5,5,5,5,2,2,666666666,66,2200,66,6,0,666666666,666666666,0,0,-2,-2,4,4,2,2,2,4,1,2,4,4,3,4,2,5,1,5,1,3,4,2,2,1,2,2,4,2,6,2,3,1,1,3,3,FRH0,2,0.53303355,0.450013876,2.726686716,1.227046858
FR,5,5,480,10,10,9,1,3,4,1,5,3,8,8,3,3,3,7,2,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,6,9,3,4,6,1,5,4,2,5,2,6,2,2,2,7,7,7,9,7,2,2,1,3,2,3,9,9,2,66,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,7,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,ENG,2,1,6666,1,6666,2,1,,,1,1980,1980,1,1998,1,2006,1,1,2008,6666,66,6666,6,2,42,60,80,22,30,30,72,14,18,22,24,40,40,62,72,3,3,3,3,3,10,3,2,1,2,6,6,6,6,6,,,,,,,,57,1962,1965,2008,6666,6666,6666,6666,6666,,,,,,,,1,2,66,66,66,66,66,,,,,,,,1,,1,2,66,,1,6,1,800,7,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,20,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,2,0,6,1,1,1,10,10,60,1,60,86,5,2212,1,1,2,2,3,2,88,1,2,800,7,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,2212,2,60,710,7,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,1,2,313,4,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,1,88,1,11050,555555,1,2,2,10,10,4,4,1,3,888888888,8,888888888,88,1,2,888888888,888888888,1,1,-1,0,2,2,3,1,2,4,4,2,4,4,2,3,1,5,3,3,5,4,6,1,1,1,4,3,3,2,4,6,4,1,4,4,4,FR10,2,1.026627898,1.041508675,2.726686716,2.839867868
FR,30,5,240,5,6,4,1,2,4,2,4,2,8,9,1,4,6,9,1,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,6,8,3,4,8,3,5,5,1,5,2,9,1,2,2,5,5,5,8,4,6,3,2,2,2,3,10,10,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,2,5,88,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,ENG,2,1,6666,1,6666,1,1,,,1,1999,1999,1,2005,1,2010,1,3,2013,2017,66,6666,6,1,20,35,60,22,25,27,0,20,20,20,20,111,22,35,0,2,5,5,5,5,3,5,1,2,1,1,2,6,6,6,,,,,,,,36,1982,1983,2013,2014,2017,6666,6666,6666,,,,,,,,1,2,2,2,66,66,66,,,,,,,,1,,1,2,66,,1,6,2,520,5,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,14,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,1,1,2,9,6,39,1,41,78,1,2423,2,2,6,6,3,1,9,1,1,610,6,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,3119,1,29,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,1,520,5,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,1,3,1,11050,11058,1,2,2,9,7,6,4,1,3,3000,66,2600,66,-2,-2,4000,3600,8,2,-2,0,3,2,1,2,1,5,2,2,5,2,4,2,3,5,2,2,3,4,3,1,2,2,2,2,4,2,4,3,5,1,3,1,2,FRK1,2,1.123602271,0.796517789,2.726686716,2.171854475
FR,120,5,30,8,8,6,1,3,4,4,3,7,9,7,6,5,7,8,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2,3,8,6,4,6,7,7,1,1,5,1,9,1,1,2,8,8,8,9,6,5,4,2,1,1,3,8,9,2,66,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,2,1,,,1,1973,1970,1,1971,1,1976,1,2,1982,1986,2,2015,6,2,18,40,80,25,25,30,65,18,18,18,25,50,25,50,65,3,3,4,3,2,7,2,1,2,6,6,6,6,6,6,,,,,,,,67,1951,1951,6666,6666,6666,6666,6666,6666,,,,,,,,1,66,66,66,66,66,66,,,,,,,,1,,1,2,66,,1,1,3,720,7,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,16,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2011,1,66666,1,4,1,2,8,6,30,1,34,85,2,2622,2,2,6,6,2,4,7,1,4,720,7,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,1,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,3,2,11050,555555,3,3,3,8,8,6,6,2,2,666666666,66,777777777,7,6,1,666666666,2000,0,3,-3,3,3,4,2,4,3,1,8,1,5,4,3,2,3,6,2,6,5,3,6,2,2,2,2,2,3,5,6,5,5,1,3,6,5,FRD2,2,1.103320122,0.583479762,2.726686716,1.590966516
FR,240,1,6666,10,5,4,2,3,1,1,1,8,9,9,5,5,5,5,1,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,2,8,10,5,5,5,88,88,1,2,5,4,8,2,2,2,8,5,7,10,3,1,2,2,1,2,3,10,10,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,10,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,2,RE,1977,FRE,0,2,2,RE,2,RE,3,1,,,1,1955,1958,1,1968,1,1968,1,4,1958,1968,3,7777,2,1,16,35,80,20,25,25,60,16,15,18,18,50,20,40,60,3,4,3,2,3,10,1,1,6,6,6,6,6,6,6,,,,,,,,80,1938,6666,6666,6666,6666,6666,6666,6666,,,,,,,,66,66,66,66,66,66,66,,,,,,,,66,,2,1,4,,4,1,3,113,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,1998,1,66666,1,5,2,66666,5,0,40,1,40,52,4,9333,2,2,6,6,3,4,2,1,66,6666,66,,,,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,8888,88,,,,,,,,,,,,,,8888,,,,,,,,,,,,,,,,,,,,2,9,8888,88,,,,,,,,,,,,,,8888,,,,,,,,,,,,,,,,,,,,2,9,2,72010,11050,3,2,2,88,88,88,88,2,2,666666666,66,1100,66,6,-2,666666666,1500,-2,4,-2,4,3,3,2,3,2,1,1,1,5,2,2,4,5,6,1,4,3,4,6,2,2,4,4,4,5,2,5,3,5,3,1,3,4,FRK2,2,0.565999329,0.719949424,2.726686716,1.963076531
FR,30,5,60,0,5,2,4,1,7,7,7,77,77,77,77,77,77,77,1,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,7,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,77,6,77,0,0,4,4,3,1,5,1,5,3,3,3,5,8,2,8,4,1,3,2,3,3,3,0,0,7,66,,,,,,,,,,,,,,,,,,,,7,66,,,,,,,,,,,,,,,,,,,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,2,1,,,1,1977,1984,2,6666,2,6666,1,1,1988,6666,1,2017,6,2,888,888,888,16,0,0,60,14,888,888,888,888,30,60,60,3,3,3,3,3,3,1,2,6,6,6,6,6,6,6,,,,,,,,58,1960,6666,6666,6666,6666,6666,6666,6666,,,,,,,,66,66,66,66,66,66,66,,,,,,,,66,,2,2,6,,6,1,2,313,4,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,15,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,2,2,66666,0,0,40,1,40,84,2,9622,2,2,6,6,3,1,77,2,66,6666,66,,,,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,6,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,7,2,11050,11058,7,1,1,7,5,0,0,1,2,777777777,2,777777777,3,0,1,666666666,888888888,0,0,-1,0,2,2,1,3,2,2,3,2,3,2,3,4,4,6,4,5,3,6,5,3,3,4,4,4,6,8,6,4,5,4,5,5,4,FRB0,2,0.565675735,0.42931354,2.726686716,1.170603528
